,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
10,1,허니버터감자,5,2,1,4,4,2학기 땐 조금 흑화하셔서 예전보단 필수 참여일수가 많았어요. 10분 개인 발표도 조금 부담이 있었지만 전반적으로 쁠몰인 점과 여러모로 학생들 편의를 봐주셔서 편하게 들었던 강의였습니다.
11,1,고려대파이팅나도파이팅,5,3,2,2,3,"그냥 무난무난한 수업입니다. 스피킹 자신 있으시면 추천
열심히 하시면 성적 잘 받으실 수 있습니다."
12,2,hyuun,4,1,3,3,2,"출석은 매번 부르십니다. 중간고사는 인터뷰 형식으로 주제 맞춰서 2분 정도 스피치 2개와 자유질문 하시고, writing 시험도 있습니다. 그리고 기말고사는 10분 영어 발표를 하십니다. 열심히 해서 1학기와 비슷한 점수를 받았는데 학점은 차이가 많이 나서 조금 당황스러웠습니다."
13,2,대치탈출넘버원,4,3,3,4,4,"본인이 영어 스피킹과 발표에 자신이 있다면 엄청난 꿀강이지만, 그렇지 않다면 조금 힘들 수도 있는 수업입니다. 과제는 사실상 없고 출석은 매번 하십니다."
14,2,honeybeee,3,3,3,3,1,"장점 : 스피킹에 자신 있으면 준비할 게 현저히 적다, 중간고사 기간에는 본인 차례에만 오면 된다.
단점 : 1분의 지각도 허용하지 않는 칼같은 출석체크, 2학기부터 갑자기 생겨난 자유주제발표(본인 순서 아니여도 출석해야 함)

요약 : 본인이 유창한 스피킹이 아니라면 다른 교수님을 찾아보는 걸 추천합니다. 1학기 때는 대본 달달 외운 걸로 커버가 됐었으나 수업 커리큘럼이 바뀌며 2학기는 좀 힘들었습니다."
15,2,notornot,4,1,1,4,1,"여전히 꿀강이지만 출석은 여전히 빡세게 잡습니다. 물론 9번까지는 봐주시고, 출석 안해도 되는 일수가 있지만, 이제 기말 시험이 프레젠테이션으로 진행되어서 열심히 출석하셔야합니다. 그래도 꿀강!"
16,2,imname,4,1,2,4,2,"평가 항목은 독서 토론, 그래프 분석, 자유 주제 발표 크게 세 가지입니다. 이 중 사실상 영어 회화 실력을 요하는 것은 독서토론 시험 밖에 없습니다.

● 그래프 분석은 주어진 그래프를 분석한 뒤, 이를 영어로 작성하는 시험입니다. 수업 시간에 무슨 내용이 들어가야 하는지 미리 알려주십니다.  

● 자유 주제 발표는 말 그대로 자유롭게 주제를 골라, 그 주제에 대해 10분 동안 앞에서 발표하는 평가입니다. 발표 중간 중간 대본을 확인할 수 있어 큰 부담은 없었습니다.

● 독서 토론은 책을 하나 골라 읽은 뒤, 이 책에 대해 교수님과 이야기를 나누는 시험입니다. 내용 요약과 책을 읽고 배운 점에 대해 각각 2분 가량의 답변을 사전에 준비해 가면, 그 답변을 듣고 난 뒤 교수님께서 꼬리 질문을 던지십니다. 이 때 회화에 능통하신다면 조금 유리할 것 같긴 합니다만, 아주 유창하지 않더라도 차분히 답변을 이어나간다면 나쁘지 않은 점수를 받을 수 있습니다. 교수님께서 점수 보정을 후하게 해주시기 때문에, 영어를 한 마디도 못하는 게 아니라면 너무 걱정하지 않아도 될 것 같습니다."
17,2,10,5,2,3,4,5,"도커티 교수님 아잉1을 만족하며 수강해서 아잉2도 신청했습니다. 스피킹만 어느 정도 되면 아잉은 도커티 교수님이 정말 꿀이십니다. 아잉1과는 다르게 이번에는 기말고사 때 긴 휴강기간이 주어지지 않아 아쉬웠지만 그래도 중간고사 때 휴강기간 있었던 걸로 만족합니다..

출석은 매번 호명하시고 정각에 칼같이 하십니다.
중간고사는 책을 한 권 읽고 그 책에 대해 교수님과 interview하는 스피킹 시험인데(대본 암기 일부, 프리토킹 일부), 하루에 3명씩 시험을 보기 때문에 시험기간이 깁니다. 시험기간 중에서 자기 시험 보는 날 아니면 안 가도 돼서 정말 꿀입니다.
기말고사는 자유 주제로 10분 발표하기였습니다.
중간고사와 기말고사 사이에 수업시간에 다 같이 보는 글쓰기 시험도 1번 있었습니다. 
최종 점수에 보정도 해 주시고, 학점 잘 주십니다."
18,2,zzzzzqwer,3,3,4,3,2,"필수 교양인 만큼 큰 기대는 안 하시는 게 좋습니다.
거의 무조건 들어야 하는 수업이기 때문에 마음을 비우고 들으시는 것이 좋습니다.
나쁘지 않아서 들을만합니다. 추천
다들 행복한 수업 하시고 좋은 점수 받으시길."
19,2,Woo_wa,4,4,1,3,3,"가장 1학점 다운 아잉입니다. 다른 데 에세이 써야하고, 발표도 하고 뭐 잡다한 것들 많이할 때 깔끔하게 세 개의 시험만 치르면 되는 좋은 강의입니다.

1) 중간고사: 책 읽고 인터뷰 요약 2분, 감상 2분, 자유토론 3분

2) 그래프 설명하기: IELTS graph writing 쉬운 버전입니다.

3) 10분 발표: 이게 개인적으로 준비하기 힘들었습니다. 자유 주제이고 10분~12분 발표를 준비하면 되는데, 10분이 생각보다 길다보니.... 미리미리 준비하시면 좋습니다.

학점도 딱 자신의 영어 실력만큼 받아갈 수 있는 것 같습니다. 영어 회화 능력이 뛰어나신 분이라면 꼭 들으세요!"
20,2,종파,2,3,4,1,1,"1학기 때는 자신의 중간고사, 기말고사 날짜가 아니면 그 전까지는 수업에 안 가도 되었지만 기말고사가 발표로 바뀌면서 이게 반으로 줄었다는 점이 매우 아쉽고, 이게 줄어 별로 안 좋은 강의라고 느끼게 되었습니다. 자신이 영어 회화를 매우 잘한다고 생각하는 분들만 듣길 바랍니다. 그리고 출석을 매우 융통성 없게 체크하십니다. 예를 들어 가방을 두고 잠시 화장실을 갔다 왔는데 교수님이 출석 체크를 하고 있다면 지각으로 처리됩니다. 그리고 수업 시작이 10시 반이지만, 그냥 교수님보다 늦게 들어가면 지각입니다. 자신의 이름이 불리기 전이지만 교수님보다 늦게 들어갔다면 기억하셨다가 지각으로 처리하시기 때문에 그냥 일찍 가시기 바랍니다."
21,2,hyoueli,5,4,3,4,4,"중간고사, 그래프, 기말고사 열심히만 한다면 학점 잘 주십니다 다만 1학기 때와 다르게 기말고사 기간에 매번 출석해야 했던 것이 조금 아쉬웠습니다"
22,3,복숭아농부,5,2,1,4,4,"수시 과제를 많이 내주시지 않고, 굵직한 시험 겸 과제 3개만 내주십니다. 이 수업에서는 스피킹 능력이 중요하게 쓰이는 경우가 많아 영어말하기를 특히 잘하는 학생들에게 더욱 편할 것 같습니다."
23,3,여여22,4,4,3,3,3,"중간고사 즈음의 3주 동안은 출석을 하지 않아도 된다는 점이 큰 장점입니다. 시험도 없었으며 세 차례의 과제가 있었습니다. 영어 책 읽고 교수님과 1대1로 이야기하는 과제, 그래프 및 도표를 보고 Writing을 하는 과제, 그리고 자유주제로 10분 동안 발표를 하는 과제가 있습니다. 한국인 학생들이 가장 약한 Speaking과 Writing을 연습할 수 있는 과제들이기 때문에 유익했습니다. 다만 과제들이 부담이 있었긴 했습니다. 특히 발표를 할 때 너무 긴장하지 않는 것이 중요할 것 같습니다. 또 그래프 Writing 과제의 경우 수능 도표 문제에서 어떤 표현들을 쓰는지 익히고 연습해서 가면 수월하게 과제를 하실 수 있을 것 같습니다."
24,3,흑돼지통구이,5,1,1,3,5,"아잉은 도커티 라는 말이 있듯이 지각 9회까지 감점 없는 것은 정말 꿀 그 자체.
영어 발음이 다소 중요하다는 점은 아잉1과 같으나, 그것 빼고는 정말 꿀강.
학점도 잘 주신다."
25,3,wiisports,4,3,4,5,3,"이걸 보시는 분들이라면,1학기 전 평가 내용이나,1년전 평가 내용을 보면 조금 다를 수 있다는 생각이 들 수 있습니다.
이제 고려대학교에서 도커티교수님을 음해하는 바람에 도커티님께서 어쩔 수 없이 후반부 수업을 현장으로 하겠다는 말을 듣고,
저도 눈물을 머금으며 강의만족도를 4점찍어야 겠다는 생각을 했습니다.
원래 전,후반부 수업 모두 시험 보는 날에만 출석하면 되는 명강에서
전반부 수업만 시험보는 날에만 출석하고서는 학점이 그렇게 잘나오는 것이 아닌(근데 1학점이라 별 상관 없긴 합니다) 그런 강의로 변했습니다.
물론 뭐,나쁘지는 않아요.
학점 a+기준은,유튜브에 ielts band 6.5치시고 그 정도 수준으로 스피킹 할 수 있으면 a+나옵니다.
근데 이거 또 상대같은 절대평가라 어떨지는 잘 모르겠습니다."
26,3,mmnso,3,4,3,3,3,"1학기 때는 중간고사랑 기말고사 모두 책을 읽고 책 내용에 대해 교수님과 일대일로 대화하는 시험이었는데, 2학기 때는 중간고사는 교수님과 대화하는 시험 그대로, 기말고사 때는 돌아가면서 영어로 10분간 발표를 해야 했습니다. 영어 발표를 할 때 대본을 보지 않는 것을 요구하였기에 많은 내용을 암기해야 했습니다. 영어로 말하는 것에 부담이 없다면 들어도 좋지만 다른 교수님 수업을 들어도 좋을 것 같습니다"
27,3,딸기우유,5,2,2,3,2,"영어 스피킹을 웬만큼 한다는 사람은 무조건 아잉 도커티 교수님 들으세요!!!! 강조 안 해도 알 것 같지만, 정말 꿀강 중에 꿀강이라고 할 수 있습니다. 일단, 중간고사 기간에 내 시험 순서가 아니면 약 한 달 동안 수업에 안 나가도 되는게 정말 큰 장점입니다. 중간고사도 책 읽고 감상 말하는 거라서 준비 잘 해가고, 교수님과 몇 번 대화 주고 받으면 좋은 점수 얻을 수 있습니다. 그래프 해석하는 writing 시험도 분량 채우고, 교수님이 나눠주신 자료에 있는 예시 보면서 비슷하게 쓰면 점수 잘 받을 수 있습니다. 기말고사 개인 presentation이 10분 동안 발표해야 하는 거라 조금 부담될 수는 있는데, 자유 주제라서 내가 가장 할 말이 많은 재밌는 주제 선정하면 금방 준비할 수 있습니다. 그리고 presentation은 중간고사와 다르게 수업을 나와서 다른 학우들의 발표를 들어야 합니다. 하지만 다른 학우들이 각자의 주제로 발표하는 거 보는 것도 재밌고 유익합니다. 결론은 도커티 교수님 꼭 들으세요!"
28,3,23학번,4,1,5,3,3,그 유명한 도커티 저도 한번 들어봤는데요. 우선 전 초잉에 가야할 실력인지라 스피킹이 매우 모자란데 그래서 인지 힘들었어요. 스피킹 안되면 하지 마세요. 하지만 학습량은 진짜 적습니다. 그거는 꿀
29,3,07,4,3,3,3,3,"영어 말하기에 자신 있다면 추천하는 강의입니다. 약간의 영어 말하기 실력 + 자신감 이면 학점 잘 받을 수 있을 겁니다. 
중간고사는 교수님과 1:1 말하기 시험, 기말고사는 다른 학생들 모두 있는 강의실에서 발표 시험이었습니다.
중간고사 기간에는 자기 시험 날짜가 아니면 학교에 가지 않아도 되서 좋았으나 기말고사 때는 항상 출석해야 했습니다."
30,3,Nick315,5,3,3,3,3,중간고사는 도커티 아잉1과 동일하게 책 읽고 소감 준비해서 본인 시험날만 가면 됩니다. 다만 기말고사는 자유주제로 프레젠테이션하는 것은 기존 도커티 아잉2와 동일하지만 매번 출석해야합니다. 그래서 살짝 메리트가 사라진 듯한 아쉬움 남았던 것은 사실이지만 그럼에도 남들보다는 덜 가는 거고 과제도 딱히 없기 때문에 꿀인 것은 맞습니다. 다만 출석 널널히 하신다고(3번 결석까지 가능에 지각은 6번? 잘 모르겠지만 그 정도까지 감점 없습니다.) 수업 막 안 나가시다가 저처럼 결석 계산 잘못해서 감점 당하시는 일 없기를.....
31,4,ihvv,5,5,3,5,5,평소에 group discussion 많이 하고 기말은 발표합니다. 교수님 말 잘 듣고 열심히 하면 A+ 받을 수 있어요. 대신 출석이 많이 중요해요. 강추합니다~
32,4,잠오냐,5,4,4,5,5,항상 친절하시고 질문도 잘 받아주십니다. 스피킹 약한 분들에게는 최고의 교수님이십니다. 다만 꼼꼼함이 조금 필요합니다.
33,4,토카,5,4,2,3,3,"전반적으로 만족스러웠습니다. 1교시 강의인데 출석을 매번 하여 좀 힘들긴 했지만, 학점은 잘 주시는 거 같습니다. 평가는 출석, 이메일 쓰기, 에세이, 토론, 발표, 기말고사로 좀 시키는게 많긴 하지만 각각 점수는 잘 주시는 편입니다. 영어를 잘 못하시면 듣기 좋을 것 같습니다."
34,4,블루픽션,5,3,3,5,3,"경영, 자유전공학부 분반 Academic English II 강의입니다.
절대평가이나 Hanf 교수님 분반의 특징은 출석이 다소 깐깐한 부분이 있습니다. A+을 받으려면 1번 이하로 결석해야 합니다. 출석을 항상 부르시고 수업을 시작합니다.
수업 내용은 비즈니스 이메일 작성 - 에세이 작성 - 비즈니스 영어 토론 실습 - 주제 프리젠테이션 정도로 구성됩니다.
영어 토론 실습의 경우는 조별활동을 하고 매 학기 첫 2번의 수업 정도는 아이스브레이킹 활동을 합니다.
중간고사는 에세이 작성(시험일 당일 수업 시작 시간에 블랙보드에 주제를 올리시고 당일 자정까지 작성하여 제출합니다.), 기말고사는 지금까지 배운 전체 프리젠테이션을 범위로 하여 오픈북 구글폼 객관식으로 봅니다. 또 매 활동이 끝나고 나면 평가물을 제출합니다. (이메일은 중간고사와 비슷한 형식으로 주제 제시 후 양식에 맞춰 이메일 제출, 영어토론은 2인 1조로 교수님 앞에서 형식에 맞게 작성된 대본을 기초로 시연, 주제 프리젠테이션은 전체 수강생 앞에서 ppt로 발표)
점수가 까일 수 있는 부분은 이메일, 에세이 등의 작성에 있어 채점을 깐깐하게 하시는 부분이 있으나 형식을 잘 맞춰하신다면 크게 어렵지 않습니다.
자전보다는 경영 수강생들에 맞는 내용으로 구성되어 있습니다. 가령 프리젠테이션에서 경영전략이나 기법에 관한 발표를 요구한다든지, 이메일에서 비즈니스 이메일 작성법을 배운다든지 등등입니다."
35,4,청충옝창,3,3,3,3,3,"교수님이 젠틀하십니다.
그리고 아잉수업인 만큼 빨리 끝내주시는 날도 있습니다.
하지만 해야하는 과제가 조금 많습니다."
36,4,ㅡㅁㅡ,5,1,1,5,3,"교수님께서 많이 너그러워지셨습니다.
1,2학기 모두 hanf 교수님의 아잉을 들었는데 1학기 때는 모든 제출 항목(시험, 과제 말고 수업마다 내야하는 것)을 채점하셨다면 2학기 때는 제출 시 만점을 주셨습니다.
또 여러가지 평가 항목들도 본인이 체감하기에 보다 넉넉하게 채점하신 것 같습니다. 

시험은 
1. 이메일 작성
2. 에세이 작성
3. 토론
4. 발표
5. 객관식 오픈북 지필

이상의 5개인데 모두 어렵지 않고 가장 어려운 과제도 적당히 1시간 이내로 준비하면 만점 받을 수 있습니다. 

괜히 도커티나 윈체스터 노리다가 이상한 교수님 잡지 말고 적당히 한프 교수님 들으시고 편안히 1학점 챙기십시오"
37,4,Lemonmint,5,1,1,5,5,"배우는 내용이 실용적이고 출석과 과제 제출에 유의하면 좋은 결과를 얻을 수 있는 아잉 수업입니다. 이메일 쓰기, 에세이 쓰기 등의 수업을 진행하며 이인조 팀플(?) 같은 게 있지만 부담되는 것이 아닙니다. 또 개인이 오늘의 과제를 다 하면 일찍 수업을 마칠 수 있습니다."
38,4,starligdt777,3,4,3,4,3,"출석 빠지면 A+ 절대 안나옵니다. 수업내용은 다 괜찮은데 학점이 많이 깐깐하십니다...
그래도교수님은착해요"
39,4,pisco48546,5,3,2,3,2,"2학기에 처음으로 수강하게 되었는데 교수님께서 친절하시고, 수업이 항상 같은 루틴으로 이루어져 있어 따라가기 수월했습니다. 이메일 쓰기 등 강의 시간에 해결해야 하는 과제가 조금 있습니다. 2회 지각=1회 결석으로 계산하여 A+ 기준은 결석 1회 이하 (1회까지 허용)이니 참고하셔서 성실히 챙기시면 좋을 것 같습니다. 오픈북 기말고사 시험이 있고, 4지선다 구글 설문지로 시행하는데 문제가 어렵지 않아서 다들 잘 보는 편이니 실수 없게 시험 응시하면 좋을 것 같아요."
40,4,박보검,5,3,3,4,4,하라는 것만 했습니다. 점수 부여 기준을 알려주시기 때문에 그에 맞춰 준비하시면 됩니다. 말하기를 잘 하지 못하는 저도 다른 부분에서 점수를 깎이지 않아 점수를 잘 받을 수 있었습니다
41,5,0ner,5,2,1,5,4,"1학기에 이어 2학기도 한프 교수님 수업 들었는데 정말 만족스러웠습니다
수강신청 때 한프 교수님 바짓가랑이 잡길 잘했습니다
커리큘럼이 단순하고 매학기 반복되니까 특히 2학기 연속 수강할 때 난이도가 무척 쉬웠습니다."
42,5,정언,5,1,1,5,5,"할 땐 확실히 하시고, 놀 땐 놀라고 해주시는 교수님 
에세이 형식이나 출석 면에서는 꼼꼼하고 철저하지만 이것만 지키고, 수업 시간 중에 요구하시는 부분만 지키면 따로 공부해야 할 것도 없고 과제도 간단한 편 
다른 아잉 수업들에 비해 종강도 나름 빠르고 
수업을 일찍 끝내 주실 때가 많아서 좋음 
경영 아잉 중에 가장 추천할 만한 교수님 !-!"
43,5,참ㅊl마요덮밥,5,3,2,5,5,해야할 게 조금 있어서 귀찮기는 하지만 대부분 큰 시간을 쏟지 않아도 되는 것들이라 잘만 하시면 될 것 같습니다!!
44,5,greeny,5,3,2,5,3,"1학기에 듣고 괜찮아서 2학기에도 한프 교수님 잡았습니다
내가 꼼꼼한 성격이다! (수시러 추천)
영어로 프리토킹할 실력은 아니다!
이렇다면 한프 아잉이 최고의 선택일 겁니다~"
45,5,옹앙옹앙,5,1,5,5,5,"출석 답할 때마다 땡~큐 해주시는 젠틀맨
학생들 이름도 외우시고 마주치면 아주 다정하게 인사해주신답니다
열심히 참여하면 학점도 잘 주십니다
깐깐징어라는 소문이 파다해서 긴장햇으나
시험에 늦으면 모닝콜도 해주시고 다정한 교수님입니다 
내 2학기 최고의 교수님, 앤따니 한ㅍ"
46,5,polyn,5,3,3,5,4,"경영학과 아잉 교수님들 중에서는 최고인 것 같습니다. 학기 초반부에는 거의 대부분의 수업이 20분만에 끝나며, 팀플도 별로 없는 편입니다. 교수님께서 요구하시는 채점 기준만 잘 숙지하여 유의한다면 좋은 학점을 받아갈 수 있을 것 같습니다. 다만 수업 피피티의 경우 며칠 뒤에 내리시기 때문에 미리미리 다운을 받아 놓으셔야 나중에 오픈북 시험 보실 때 편할겁니다."
47,5,해피해피해피,5,3,2,5,3,"성적: A+
꿀강/명강: 꿀강

한프 교수님 짱 !!!
1학기 때도 듣고 넘 좋아서 2학기 때도 들었어용

일단 한프 교수님 아잉이 좋은 점은 예측가능성이라 말할 수 있을 거 같습니다
말 그대로 주어지는 과제를 평가기준 맞춰서 늦지 않게 낸다면 좋은 성적을 받을 수 있어요
프리토킹이나 스피치 이런 과제가 없어서 너무 마음이 편했습니다 
영어를 못하진 않는데 원어민처럼 말하는 건 별로 자신 없다 하시는 분들께 추천드립니다 제가 그랬거든용 ㅎㅎ..

그 밖에도 교수님께서 학생들 얼굴 이름 기억해주시고 친근하게 대해주시고.. 그냥 천사같은 교수님이십니다

아잉은 꼭 한프교수님 들으세요 짱짱"
48,5,이상해풀,5,2,2,4,4,1학기 한프교수님 들었다면 2학기도 그대로 들으세용!! 커리 큘럼 거의 똑같아서 부담이 더 줄어들었습니다. 칼절평이긴하지만 꼼꼼히 .. 신중히 과제 제출하시면 학점 잘 받아가실 수 있어요. 덤벙대지만 않으면 됩니당 !
49,5,quokka90,5,3,3,5,5,"1학기에 한프 교수님 수업 들었는데 너무 좋아서 2학기에도 들었어요!
출석은 매번 하셔서 지각이나 결석은 하지 않는 게 좋습니다!
그리고 과제 평가 기준을 다 알려주시니까 감점되지 않도록 꼼꼼히 체크하고 제출하시면 됩니다!
발표도 미리 준비할 시간이 충분히 있어서 프리토킹 자신 없는 분들께 추천합니당"
50,5,김재재재,3,4,2,2,2,a0받기 수월한 강의입니다. 다만 채점 기준이 모호하고 의문사당하는 일이 종종 있습니다. 하라는 거 꼬박꼬박 하면 과제도 없고 꿀강인 듯합니다
51,6,Yuwol,5,2,1,5,3,"1학기에 이어서 2학기도 Hanf 교수님 분반 수강했습니다. 강의 내용 자체는 아잉1과 거의 비슷했고 크게 어려운 부분은 없었습니다. 역시나 평가 기준이 매우 명확해서 과제 제출 전에 여러 번 검토가 필요했습니다. 토론, 발표 점수는 글쓰기보다 후하게 주시는 편인 것 같습니다."
52,6,unfathom,5,5,5,4,5,"자신이 들을 의지가 있다면 얻어갈게 많은 수업, 성실히 참여하면 A+를 받을 수 있으나, 원래 잘하는 친구가 유리한 수업"
53,6,Edfs234,5,2,2,4,3,1학기 때는 칼절평이었는데 이번에는 그 정도는 아닌 것 같습니다. 1학기에 비해 점수도 후하게 주십니다. 출석 잘 하는 게 중요하고 더 잘 써보려고 쓸데없는 내용 넣었다가 오히려 점수가 깎이기 때문에 시키는 것만 잘 하시면 A0는   쉽게 받을 수 있습니다.
54,6,후훗,5,1,1,5,2,"진짜 1학점인만큼 학생들에게 최대한 부담 안 주실려고 하는게 너무 느껴졌던 강의입니다
매 수업 시간이 거의 20분일만큼 일찍 끝내주셨습니다
기말고사에 활용되니 매 수업 ppt 잘 다운받아놓으시면 좋을 것 같습니다!"
55,6,kkk123,4,4,4,5,4,"평가 기준이 굉장히 엄격합니다. 물론 교수님께서 항상 채점 기준을 알려주시기는 하나, 예상치 못한 데에서 감점 당하기도 합니다. 하지만 체계적인 수업 좋아하시고 꼼꼼하신 분들에게는 잘 맞는 수업이 될 것 같습니다.
이메일, 에세이, group discussion, presentation 이렇게 크게 4개의 내용을 배웁니다. 수업 끝날 때 제출하는 과제가 거의 매번 있습니다. 수업 시간 내에 끝내야 하고 이건 어렵지 않습니다. 잘 제출만 하면 점수에 영향은 없는 것 같습니다. 한 파트가 끝나면 평가가 이루어집니다. (이메일 테스트, 에세이(중간고사), group discussion, final presentation, 기말고사)
기말고사는 오픈북이라 크게 어려운 점은 없습니다. 휴강도 비교적 자주 있고, 수업도 거의 항상 일찍 끝납니다."
56,6,익명이,4,2,2,4,2,"과제는 강의 시간 내 제출해야하는 게 좀 있었고 기타 이메일 작성, 에세이 작성 및 그룹 토론, 발표같은 짜잘한 평가들이 있었습니다. 대체로 강의 시간 내에 준비할 수 있는 거라 부담은 없었어요
기말은 오픈 북 테스트고 강의 때 블랙보드에 올려주신 ppt만 다운 받아가면 만점 나오는 시험이었습니다
대신 ppt는 미리미리 다운 받아놓으세용

꼬박꼬박 과제 제출하고 강의 출석하면 a+받아갈 수 있을 것같아요 
평가 기준이 쪼금 엄격한 대신 그만큼 명확해서 점수 받아가기 어렵진 않은 것같습니당 추천추천"
57,6,bluee00,4,2,1,4,2,"메일쓰기, 토론하기, 에세이쓰기, 프레젠테이션, 기말고사 등 할 게 꽤 많지만 평가기준을 매우 명확하게 공지해주시고 어렵지도 않기 때문에 부담 가지지 않아도 되는 강의입니다!"
58,6,리미리미림,5,2,2,5,5,부담 없는 수업이고 교수님도 정말 좋으세요! 매 수업마다 있는 과제가 조금 귀찮을 수는 있지만 가이드라인 다 주시는 거고 딱 그 시간 안에 끝나서 부담은 전혀 없습니다. 마지막에 보는 구글폼 형식의 기말 시험을 위해 매 수업마다 올려주신 PPT 자료를 꼭 보관해두시는 걸 추천드립니다!
59,6,2022,5,3,2,5,5,"스피킹과 영어 자체에 자신없는 분들께 추천드립니당
영어를 잘 못하는 제가 99점으로 마무리 할 수 있을 정도로 실라버스만 잘 맞추면 점수 깎일 일이 거의 없고, 별 거 안했는데도 너무 잘했다고 평가해주십니다(...)
교수님께서 굉장히 젠틀하십니다."
60,6,중임무황태,4,2,2,5,2,"경영대에 얼마 없는 추천하고픈 아잉 교수님... 한프 교수님 정말 나이스하십니다. 나이스의 의인화... 수업 중 과제, 간단한 팀플 스피치, 발표, 시험으로 성적 주시는데 약간 귀찮다 싶다가도 1학기 때 수강했던 교수님 생각해보면 정말 천사세요... 다만 발표 평가가 약간 깐깐하시고 시험이 PPT 위주로 정말 정말 지엽적으로 나오기 때문에 PPT 꼭 저장해놓으세요... << 이게 제일 중요함. 아무튼 어차피 들어야 하는 아잉... 한프 교수님 수업 추천드립니다"
61,7,hsryu5593,4,4,3,4,3,다른 아잉에 비해 할 게 조금 더 많은 정도인 것 같습니다. 중간고사는 수업 내용만 외우면 되고 팀플 한 두 번 정도 있었습니다. 중간 망쳐서 걱정했는데 생각보다 학점 잘 나왔습니다.
62,7,오현지,2,4,2,1,2,"목소리가 크지 않으셔서 집중하지 않으면 내용을 놓치기 쉽다. 요구하시는 과제가 많은 편이다. 팀플, 발표, 리포트, 중간 기말 시험, 영어 인터뷰 모두 있었다. 그렇지만 전체적으로 어렵지 않고 교수님께서 안내를 굉장히 잘 해주셔서 열심히 할 마음만 있다면 무난하게 학점을 받아갈 수 있다."
